ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"2016","2016/10/04","G63331847","ASSOC COLLA DE GEGANTERS DEL CEIP TERESA ALTET","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","1400.00","1400.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G61044673","ASOC DE VECINOS DE LA PLANA DEL CASTELL","MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES","Infraestructures i suport entitats","PAGADA","875.00","845.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B60670932","EL PASTISSER DE RUBI SL","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","103.62","103.62","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G60836871","GRUP CULTURAL I DE TEATRE CORIMBO","Convocatòria 2016 subvencions entitats culturals","Cultura","JUSTIFICADA","435.00","435.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/05/24","G64315658","ASSOCIACIO DE PARES I MARES CEIP RIVO RUBEO","10a edición Premios al Civismo","Infraestructures i suport entitats","PAGADA","2500.00","1500.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B63770242","CANSALADERIES ARTESANES PAEZ SL","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G59582007","AA VV CA N'ORIOL","MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES","Infraestructures i suport entitats","PAGADA","3350.00","2341.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","F58137001","CEVAGRAF SDAD COOP CATALANA LIMITADA","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G58543182","AGRUPACIÓ RUBINENCA CULTURAL I ARTISTICA","Convocatòria 2016 subvencions entitats culturals","Cultura","REINTEGRADA","575.00","450.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/03/03","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","SUBVENCIÓ CONVENI FUTBOL SALA.TEMPORADA ESPORTIVA 2015-2016","Esports","JUSTIFICADA PARCIALMENTE","15000.00","15000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G58202953","CASA DE ANDALUCIA EN RUBI","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","2000.00","1100.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G60480985","HERMANDAD ROCIERA ANDALUZA DE RUBI","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","2953.66","800.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B60318748","VENDIPRACTIC SL","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B59010363","PHOTOLAYER SL","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","934.78","934.78","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/03/03","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","SUBVENCIÓ 2016 CER FUTBOL SALA. ESCOLA ESPORTIVA","Esports","JUSTIFICADA PARCIALMENTE","3100.00","3100.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G62654462","APLEC DE RUBI","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","2600.00","2500.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/03","G64599509","CLUB ESCOLA DE FUTBOL CAN MIR","SUBVENCIONES 2016. MODALIDAD B:ASOCIACIONES Y CLUBS DEPORTIVOS","Esports","JUSTIFICADA PARCIALMENTE","800.00","800.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","V59492041","OBRADOR CORAL RUBI","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","V59499996","SOCIETAT CORAL LA UNIO RUBINENCA DE RUBI","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","2830.00","1400.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B65966749","AYALATIM LATINA SOCIEDAD LIMITADA","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/03/18","G60571668","UNIO ATLETICA RUBI","SUBVENCIÓN 2016 UNIÓ ATLETICA RUBI. GESTIÓN PISTAS ATLETISMO AÑO 2016","Esports","JUSTIFICADA PARCIALMENTE","72000.00","72000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B66795592","ARTS PERRUQUERS CENTRO DE IMAGEN PERSONAL SL","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/12/20","B63290902","REFORFUSTA, SL","Subvencions impuls activitat empresarial 2016 al municipi de Rubí. Modalitat Comerç","Comerç i Indústria","CONCESSIÓ VALIDADA O APROVADA","1000.00","1000.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/11/29","G65513947","CLUB BOXEO RUBI","SUBVENCIÓN 2016:CONVENIO CLUB BOXEO RUBI ACTIVIDAD FEDERADA AÑO 2016","Esports","JUSTIFICADA PARCIALMENTE","1200.00","1200.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
"2016","2016/10/04","G59849760","FOMENT DE LA SARDANA DE RUBI","Convocatòria 2016 subvencions entitats culturals","Cultura","PAGADA","2300.00","2200.00","2024/09/04 02:38:03","818460009","Ajuntament de Rubí"
