ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2022","2022/12/30","G58280009","ESCOLA DE SARDANES FLOR DE NEU","Convocatòria 2022 - Subvencions destinades a projectes d'activitat de les entitats culturals. Modalitat C","Cultura","JUSTIFICADA","2170.00","2170.00","818460009","Ajuntament de Rubí"
"2022","2022/10/28","G65698888","ASSOCIACIO DE VOLUNTARIS DE PROTECCIÓ CIVIL DE RUBI","SUBVENCIÓ AVPCR 2022","Policia Local","JUSTIFICADA","5000.00","5000.00","818460009","Ajuntament de Rubí"
"2022","2022/12/19","G65876955","ASSOC SOLIDARITAT I AJUDA VEINAL (ASAV)","MODALITAT H: SUBVENCIONS DESTINADES A ENTITATS D'ACCIÓ SOCIAL.","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","1500.00","1500.00","818460009","Ajuntament de Rubí"
"2022","2022/11/02","G61044673","ASOC DE VECINOS DE LA PLANA DEL CASTELL","MODALITAT A. Subvenciones destinadas a proyectos de actividades de las asociaciones de vecinos.","Infraestructures i suport entitats","JUSTIFICADA","840.00","840.00","818460009","Ajuntament de Rubí"
"2022","2022/05/18","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","Subvención 2022. CE Rubi Futbol Sala. Actividad deportiva federada de los equipos masculinos, temp 21-22","Esports","PAGADA","14000.00","14000.00","818460009","Ajuntament de Rubí"
"2022","2022/12/19","G67008318","RUBITEA ASSOCIACIO DE FAMILIES DE PERSONES AMB AUTISME","MODALITAT H: SUBVENCIONS DESTINADES ACCIO SOCIAL. SUPORT A PROJECTES D'INCLUSIÓ SOCIAL PER PERSONES AMB DIVERSITT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA","950.00","950.00","818460009","Ajuntament de Rubí"
"2022","2022/12/30","G61289658","ASSOCIACIO  SANT GALDERIC","Subvenció 2022 - Ass. Cultural Sant Galderic per la Fira i activitats de Sant Galderic","Cultura","JUSTIFICADA","2535.00","2515.24","818460009","Ajuntament de Rubí"
"2022","2022/12/15","G67166702","ASSOCIACIO CULTURAL ULL PER ULL","Subvenció 2022 - La Nuu Festival Internacional de Fotografia de Rubí","Cultura","JUSTIFICADA","40000.00","40000.00","818460009","Ajuntament de Rubí"
"2022","2022/07/15","G60571668","UNIO ATLETICA RUBI","Subvención 2022. Unió Atlètica Rubí. Competiciones escolares y federadas, año 2022","Esports","JUSTIFICADA PARCIALMENTE","9000.00","9000.00","818460009","Ajuntament de Rubí"
"2022","2022/08/31","Q5856371I","ESCOLA SCHOLA","2021-2022 Ajuts als Centres educatius públics per a Projectes Pedagògics","Educació","JUSTIFICADA","1192.38","1192.38","818460009","Ajuntament de Rubí"
"2022","2022/11/02","G58978651","GIMNAS ARTISTIC I ESPORTIU RUBI","Subvención 2022. GAER. Actividades de gimnasia del año 2022","Esports","JUSTIFICADA","500.00","500.00","818460009","Ajuntament de Rubí"
"2022","2022/06/10","G59183806","UNIO ESPORTIVA DE RUBI","Subvención 2022. Unió Esportiva Rubí. Competiciones escolares y federadas equipos masculinos, temp. 21-22","Esports","PAGADA","40000.00","40000.00","818460009","Ajuntament de Rubí"
"2022","2022/11/23","G65665226","GRUP EIRENE","MODALITAT G: SUBVENCIONS DESTINADES A ENTITATS DE COOPERACIÓ PER A ACTIVITATS DE SENSIBILITZACIÓ","Polítiques de Ciutadania","JUSTIFICADA PARCIALMENTE","5268.00","5268.00","818460009","Ajuntament de Rubí"
"2022","2022/05/18","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","Subvención 2022. CE Rubí Futbol Sala. Actividades de escuela deportiva, temp. 21-22","Esports","JUSTIFICADA","3100.00","3100.00","818460009","Ajuntament de Rubí"
"2022","2022/06/22","G60867025","AGRUPACIO RUBINENCA D'ESCACS","Subvención 2022, Ass. Escacs Rubinenca. Actividades federadas de la temporada, Open y jornadas escolares, año 2022","Esports","JUSTIFICADA PARCIALMENTE","1750.00","1750.00","818460009","Ajuntament de Rubí"
"2022","2022/08/31","Q5855638B","ESCOLA TORRE DE LA LLEBRE","2021-2022 Ajuts als Centres educatius públics per a Projectes Pedagògics","Educació","JUSTIFICADA","1224.06","1224.06","818460009","Ajuntament de Rubí"
"2022","2022/12/30","G59849760","FOMENT DE LA SARDANA DE RUBI","Convocatòria 2022 - Subvencions destinades a projectes d'activitat de les entitats culturals. Modalitat C","Cultura","JUSTIFICADA","2600.00","2167.50","818460009","Ajuntament de Rubí"
"2022","2022/12/19","G08992786","ASSOCIACIÓ DE PERSONES AMB DIVERSITAT INTELECTUAL DE RUBÍ","MODALITAT H: SUBVENCIONS DESTINADES ACCIO SOCIAL. SUPORT A PROJECTES D'INCLUSIÓ SOCIAL PER PERSONES AMB DIVERSITT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","6000.00","6000.00","818460009","Ajuntament de Rubí"
"2022","2022/07/06","G60313459","COLLA DE GEGANTERS DE RUBI","Subvenció 2022 - Colla Geganters de Rubí, programa sortides, trobades i activitats de difusió de la cultura gegantera","Cultura","JUSTIFICADA","11890.24","11890.24","818460009","Ajuntament de Rubí"
"2022","2022/12/19","G67436675","ASSOCIACIO DAUS VALLES","MODALITAT H: SUBVENCIONS DESTINADES ACCIO SOCIAL. SUPORT A PROJECTES D'INCLUSIÓ SOCIAL PER PERSONES AMB DIVERSITT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","3091.88","3091.88","818460009","Ajuntament de Rubí"
"2022","2022/08/31","Q0801862D","INSTITUT TORRENT DELS ALOUS","2021-2022 Ajuts als Centres educatius públics per a Projectes Pedagògics","Educació","JUSTIFICADA","1079.48","1079.48","818460009","Ajuntament de Rubí"
