ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,"CODI_ENS","NOM_ENS"
"2015","2015/11/18","B66171976","CUIDA TUS MASCOTAS SL","SUBVENCION IMPULS ACTIVITAT EMPRESARIAL ANY 2015. MODALITAT COMERÇ","Comerç i Indústria","PAGADA","495.46","495.46","818460009","Ajuntament de Rubí"
"2015","2015/11/18","F58137001","CEVAGRAF SDAD COOP CATALANA LIMITADA","SUBVENCION IMPULS ACTIVITAT EMPRESARIAL ANY 2015. MODALITAT COMERÇ","Comerç i Indústria","PAGADA","1000.00","1000.00","818460009","Ajuntament de Rubí"
"2015","2015/08/04","G63331847","ASSOC COLLA DE GEGANTERS DEL CEIP TERESA ALTET","Convocatòria concessió subvencions 2015 a entitats culturals","Cultura","PAGADA","1600.00","1400.00","818460009","Ajuntament de Rubí"
"2015","2015/11/18","J66358938","OH-KBE ESTETICA I QUIROMASSATGE SCP","SUBVENCION IMPULS ACTIVITAT EMPRESARIAL ANY 2015. MODALITAT COMERÇ","Comerç i Indústria","PAGADA","1000.00","1000.00","818460009","Ajuntament de Rubí"
"2015","2015/07/28","G63930499","FUNDACIO PRIVADA AVAN","SUBVENCIONS A ENTITATS 2015 MODALITAT F) ENTITATS SOCIOSANITARIES","Sanitat i serveis socials","JUSTIFICADA","4000.00","3000.00","818460009","Ajuntament de Rubí"
"2015","2015/03/11","G60571668","UNIO ATLETICA RUBI","PRÒRROGA CONVENI PER AL 2015 UNIÓ ATLÈTICA RUBÍ.DINAMITZACIÓ PISTA ATLETISME CAN ROSÉS","Esports","PAGADA","72000.00","72000.00","818460009","Ajuntament de Rubí"
"2015","2015/08/04","G65540171","ASSOCIACIO RUBI MUSICAL","Convocatòria concessió subvencions 2015 a entitats culturals","Cultura","JUSTIFICADA","1285.00","500.00","818460009","Ajuntament de Rubí"
"2015","2015/12/15","G59382408","PENYA BLAU GRANA RAMON LLORENS","2na convocatòria subvencions 2015 ENTITATS I PROGRAMES ESPORTIUS","Esports","JUSTIFICADA","1000.00","1000.00","818460009","Ajuntament de Rubí"
"2015","2015/07/21","G61044673","ASOC DE VECINOS DE LA PLANA DEL CASTELL","MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ENTITATS VEÏNALS I CÍVIQUES","Presidència","JUSTIFICADA","875.00","845.00","818460009","Ajuntament de Rubí"
"2015","2015/03/02","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","Subvencio 2015 CE Rubi Futbol Sala. Escola esportiva","Esports","JUSTIFICADA PARCIALMENTE","3100.00","3100.00","818460009","Ajuntament de Rubí"
