ANY_SUBVENCIO,DATA_SUBVENCIO,"CIF_BENEFICIARI","BENEFICIARI","CONVOCATORIA","CENTRE_GESTOR","SITUACIO",IMPORT_SOLICITAT,IMPORT_CONCEDIT,DATA_ACTUALITZACIO,"CODI_ENS","NOM_ENS"
"2017","2017/11/08","G61368957","CASAL AMISTAT CATALANO CUBANO JOSE MARTI","MODALITAT G: SUBVENCIONS DESTINADES A COOPERACIÓ INTERNACIONALS","Polítiques de Ciutadania","JUSTIFICADA PARCIALMENTE","2590.00","2590.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/09/19","G58978651","GIMNAS ARTISTIC I ESPORTIU RUBI","SUBVENCIÓN 2017. GAER. ACTIVIDADES DE GIMNASIA TEMPORADA DEPORTIVA AÑO 2017","Esports","JUSTIFICADA","1500.00","1500.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/21","G58202953","CASA DE ANDALUCIA EN RUBI","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","2000.00","1700.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/21","G08804916","UNION EXTREMEÑA DE RUBI","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","1060.00","850.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/10/16","G60858826","AGRUPACION DE PERSONAS MAYORES","ACTIVITATS I SORTIDES FOMENTAR LA CONVIVÈNCIA SOCIAL","Polítiques de Ciutadania","PAGADA","1000.00","1000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/22","G60208972","CLUB ESPORTIU RUBI FUTBOL SALA","SUBVENCIÓN 2017. CE RUBI FUTBOL SALA. PROGRAMA DE MANTENIMIENTO DE ADULTOS Y TERCERA EDAD, TEMP 2017-2018","Esports","JUSTIFICADA PARCIALMENTE","56000.00","30000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/10","G67008318","RUBITEA ASSOCIACIO DE FAMILIES DE PERSONES AMB AUTISME","MODALITAT H: INCLUSIÓ SOCIAL DE PERSONES AMB DIVERSITAT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA","850.00","850.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/02/15","G62424767","SOCIETAT SANT ANTONI ABAD","Subvenció i conveni 2017 a Societat Sant Antoni Abat per Festa la Sant Antoni Abat 2017","Cultura","PAGADA","18000.00","18000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/07/21","Q5855633C","ESCOLA MOSSEN CINTO VERDAGUER","Subvenció directe per l'escola Mossèn Cinto pel transport relacionat amb la guia d'activitats","Educació","JUSTIFICADA","3388.00","3060.58","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/21","G62943576","AMICS DEL COL.LECCIONISME DE RUBI","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","300.00","300.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/10","G08992786","ASSOCIACIÓ DE PERSONES AMB DIVERSITAT INTELECTUAL DE RUBÍ","MODALITAT H: INCLUSIÓ SOCIAL DE PERSONES AMB DIVERSITAT FUNCIONAL","Sanitat i serveis socials","JUSTIFICADA","2750.00","2750.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/07/05","G61139432","CLUB PETANCA UNION LAS TORRES RUBI","SUBVENCIÓN 2017. ACTIVIDADES Y OPEN AÑO 2017","Esports","JUSTIFICADA PARCIALMENTE","5000.00","5000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/10/16","Q5855638B","ESCOLA TORRE DE LA LLEBRE","Convocatòria subvencions 50/50 curs 2015-2016","Manteniments","PAGADA","2427.97","2427.97","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/10","Q2866001G","CRUZ ROJA ESPAÑOLA","PROJECTES INCLUSIÓ SOCIAL I PROJECTES DE SUPORT A LA INFÀNCIA I A L'ADOLESCÈNCIA","Sanitat i serveis socials","JUSTIFICADA","13000.00","13000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/10/16","Q5855639J","ESCOLA JOAN MARAGALL","Convocatòria subvencions 50/50 curs 2015-2016","Manteniments","PAGADA","3539.25","3539.25","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/09/19","G65513947","CLUB BOXEO RUBI","SUBVENCIÓN 2017. CLUB BOXEO RUBÍ. GESTIÓN INSTALACIÓN DEPORTIVA AÑO 2017","Esports","JUSTIFICADA","8500.00","8500.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/21","G58543182","AGRUPACIÓ RUBINENCA CULTURAL I ARTISTICA","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","415.94","400.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/07/21","Q0801826I","ESCOLA DEL BOSC","Subenció directe per l'escola del Bosc pel transport relacionat amb la guia d'activitats","Educació","JUSTIFICADA","1067.00","1067.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/31","P0820400J","AJUNTAMENT DE SANT CUGAT DEL VALLES","PUNT DE TROBADA. 2017","Sanitat i serveis socials","PAGADA","6200.00","6200.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/10/24","G58269242","CLUB HANDBOL RUBI","SUBVENCIÓN 2017. CLUB HANDBOL RUBÍ. ACTIVIDADES FEDERADAS TEMP 2016-2017","Esports","JUSTIFICADA","2000.00","2000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/03/20","G58203183","ESBART DANSAIRE DE RUBI","Campanya de danses tradicionals 2016-2017","Educació","JUSTIFICADA","42152.35","42152.35","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/07/12","G63487607","FUNDACIO PRIVADA LLIGA CATALANA D AJUDA ONCOLOGICA","CONVOCATORIA SUBVENCIONES CONCURRENCIA MODALIDAD F: ENTIDADES SOCIOSANITARIAS","Sanitat i serveis socials","JUSTIFICADA PARCIALMENTE","4000.00","3000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/07/25","G62129119","ASSOCIACIO GENT GRAN DE RUBI","Sbvenció activitats taller manualitats, dansa i ioga.","Polítiques de Ciutadania","JUSTIFICADA PARCIALMENTE","1000.00","1000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/21","G65373599","ASSOCIACIO COLLA DE DIABLES RUBEO DIABLORUM","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","1267.22","1187.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/10/16","Q5855637D","ESCOLA 25 DE SETEMBRE","Convocatòria subvencions 50/50 curs 2015-2016","Manteniments","PAGADA","3379.32","3379.32","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/28","G59849760","FOMENT DE LA SARDANA DE RUBI","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","5300.00","4000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/10","G65876955","ASSOC SOLIDARITAT I AJUDA VEINAL (ASAV)","PROJECTES INCLUSIÓ SOCIAL I PROJECTES DE SUPORT A LA INFÀNCIA I A L'ADOLESCÈNCIA","Sanitat i serveis socials","JUSTIFICADA","500.00","500.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/09","G64599509","CLUB ESCOLA DE FUTBOL CAN MIR","SUBVENCIONES 2017: MODALIDAD B:ASOCIACIONES Y CLUBS DEPORTIVOS","Esports","JUSTIFICADA PARCIALMENTE","2500.00","2000.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/10","Q2866001G","CRUZ ROJA ESPAÑOLA","PROJECTES INCLUSIÓ SOCIAL I PROJECTES DE SUPORT A LA INFÀNCIA I A L'ADOLESCÈNCIA","Sanitat i serveis socials","JUSTIFICADA","1450.00","1450.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/12/21","G58280009","ESCOLA DE SARDANES FLOR DE NEU","Convocatòria subvencions 2017 - Entitats Culturals","Cultura","PAGADA","2575.11","2513.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/11/20","G59370007","AA VV 25 DE SETEMBRE","MODALITAT A: SUBVENCIONS DESTINADES A PROJECTES D'ACTIVITATS DE LES ASSOCIACIONS DE VEÏNS","Infraestructures i suport entitats","CONCESSIÓ VALIDADA O APROVADA","4779.00","3856.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
"2017","2017/07/19","G60871761","CLUB VOLEIBOL RUBI","SUBVENCIÓN 2017. CLUB VOLEIBOL RUBI. ACTIVIDADES FEDERADAS 2016-2017 Y TORNEO 24HORAS","Esports","JUSTIFICADA PARCIALMENTE","6200.00","6200.00","2024/09/03 13:13:33","818460009","Ajuntament de Rubí"
